Фамилия,Имя,Факультет,Курс,Оценка
Ли,Иван,АВТФ,Теор. Механика,52
Ким,Петр,ФПМИ,Мат. Анализ,28
Райт,Вероника,ФЛА,Теор. Механика,7
Джонс,Андрей,РЭФ,Мат. Анализ,4
Джонс,Андрей,РЭФ,Информатика,40
Джонс,Андрей,РЭФ,История,27
Чан,Алексей,ФТФ,Психология,61
Чан,Алексей,ФТФ,История,87
Чан,Алексей,ФТФ,Теор. Механика,36
Чан,Алексей,ФТФ,Физика,98
Ву,Дмитрий,АВТФ,Мат. Анализ,100
Ву,Дмитрий,АВТФ,Информатика,46
Ву,Дмитрий,АВТФ,Физика,77
Ву,Дмитрий,АВТФ,Психология,2
Чжоу,Мария,ФТФ,История,89
Смит,Федор,ФПМИ,Мат. Анализ,51
Смит,Федор,ФПМИ,Физика,95
Смит,Федор,ФПМИ,Информатика,3
Смит,Федор,ФПМИ,История,93
Браун,Николай,ФЛА,История,70
Браун,Николай,ФЛА,Мат. Анализ,58
Браун,Николай,ФЛА,Информатика,85
Тан,Екатеринар,АВТФ,Информатика,5
Тан,Екатеринар,АВТФ,Теор. Механика,27
Ли,Иван,АВТФ,Теор. Механика,91
Ли,Иван,АВТФ,Физика,88
Ли,Иван,АВТФ,Психология,61
Ли,Иван,АВТФ,Мат. Анализ,96
Ким,Петр,ФТФ,Мат. Анализ,2
Райт,Вероника,РЭФ,Информатика,43
Джонс,Андрей,РЭФ,Теор. Механика,57
Джонс,Андрей,РЭФ,Психология,51
Чан,Алексей,АВТФ,История,55
Чан,Алексей,АВТФ,Психология,80
Ву,Дмитрий,РЭФ,Теор. Механика,100
Чжоу,Мария,ФТФ,Информатика,69
Смит,Федор,АВТФ,Информатика,23
Смит,Федор,АВТФ,Мат. Анализ,68
Смит,Федор,АВТФ,Психология,97
Браун,Николай,РЭФ,Психология,79
Браун,Николай,РЭФ,Мат. Анализ,92
Браун,Николай,РЭФ,Теор. Механика,2
Тан,Екатеринар,АВТФ,Психология,18
Тан,Екатеринар,АВТФ,Физика,19
Тан,Екатеринар,АВТФ,Мат. Анализ,95
Тан,Екатеринар,АВТФ,История,70
Ли,Иван,АВТФ,Психология,91
Ким,Петр,ФТФ,Физика,15
Райт,Вероника,ФПМИ,Теор. Механика,0
Райт,Вероника,ФПМИ,Мат. Анализ,47
Райт,Вероника,ФПМИ,История,11
Райт,Вероника,ФПМИ,Психология,68
Джонс,Андрей,ФЛА,Мат. Анализ,47
Джонс,Андрей,ФЛА,Информатика,79
Джонс,Андрей,ФЛА,История,2
Джонс,Андрей,ФЛА,Психология,19
Чан,Алексей,ФТФ,История,83
Чан,Алексей,ФТФ,Психология,98
Чан,Алексей,ФТФ,Мат. Анализ,88
Чан,Алексей,ФТФ,Физика,98
Ву,Дмитрий,ФТФ,Теор. Механика,79
Чжоу,Мария,ФЛА,Теор. Механика,20
Смит,Федор,АВТФ,История,75
Смит,Федор,АВТФ,Мат. Анализ,58
Смит,Федор,АВТФ,Психология,85
Смит,Федор,АВТФ,Информатика,21
Браун,Николай,ФЛА,Информатика,29
Браун,Николай,ФЛА,Физика,96
Браун,Николай,ФЛА,Мат. Анализ,27
Тан,Екатеринар,ФТФ,Физика,34
Ли,Иван,ФТФ,Теор. Механика,45
Ли,Иван,ФТФ,История,5
Ли,Иван,ФТФ,Мат. Анализ,98
Ли,Иван,ФТФ,Психология,36
Ким,Петр,ФЛА,Физика,96
Райт,Вероника,АВТФ,Мат. Анализ,66
Райт,Вероника,АВТФ,Физика,17
Райт,Вероника,АВТФ,Теор. Механика,24
Джонс,Андрей,ФПМИ,Физика,31
Джонс,Андрей,ФПМИ,Информатика,46
Джонс,Андрей,ФПМИ,Психология,85
Чан,Алексей,ФПМИ,История,32
Чан,Алексей,ФПМИ,Физика,8
Чан,Алексей,ФПМИ,Информатика,42
Ву,Дмитрий,ФЛА,Психология,12
Ву,Дмитрий,ФЛА,Информатика,59
Чжоу,Мария,ФПМИ,Теор. Механика,15
Чжоу,Мария,ФПМИ,Мат. Анализ,13
